ADDR,NAME,COLAR,ON,COLAR,OFF,ADDR,NAME,COLAR,ON,COLAR,OFF,QUICK
X1095,LOAD RESERVED#1,G,,R,,,,,,,,
X1096,LOAD SHUTTER OPEN REQUEST,G,,R,,,,,,,,
X1097,LOAD SHUTTER ALL CLOSE REQUEST,G,,R,,,,,,,,
X1098,LOAD RESERVED#2,G,,R,,,,,,,,
X1099,LOAD RESERVED#3,G,,R,,,,,,,,
X109A,EMO ST,G,,R,,,,,,,,
X109B,SPARE,G,,R,,,,,,,,
X109C,SPARE,G,,R,,,,,,,,
X109D,SPARE,G,,R,,,,,,,,
X109E,SPARE,G,,R,,,,,,,,
X109F,SPARE,G,,R,,,,,,,,
X10A0,UNLOAD AUTO,G,,R,,,,,,,,
X10A1,UNLOAD INTERLOCK CHECK,G,,R,,,,,,,,
X10A2,UNLOAD EXCHANGE READY,G,,R,,,,,,,,
X10A3,UNLOAD ROBOT BUSY,G,,R,,,,,,,,
X10A4,UNLOAD COMPLETE,G,,R,,,,,,,,
X10A5,UNLOAD ELOAD COMPLETE,G,,R,,,,,,,,
X10A6,UNLOAD SHUTTER OPEN REQUEST,G,,R,,,,,,,,
X10A7,UNLOAD SHUTTER ALL CLOSE REQUEST,G,,R,,,,,,,,
X10A8,UNLOAD RESERVED#3,G,,R,,,,,,,,
X10A9,UNLOAD RESERVED#4,G,,R,,,,,,,,
X10AA,UNLOAD RESERVED#5,G,,R,,,,,,,,
X10AB,SPARE,G,,R,,,,,,,,
X10AC,SPARE,G,,R,,,,,,,,
X10AD,SPARE,G,,R,,,,,,,,
X10AE,SPARE,G,,R,,,,,,,,
X10AF,SPARE,G,,R,,,,,,,,
